,lasso,elasticnet
481,-3.041818077693374,-2.9218964788243973
482,-6.7178364050659045,-6.5006165588283285
483,-19.48881303099747,-19.33292690322999
484,-13.644701949839517,-13.646739261013092
485,-8.597083796897179,-8.520369875726358
486,-19.48881303099747,-19.33292690322999
487,-11.751090614729051,-11.495505380408128
488,-7.048303790258858,-6.822455906643368
489,-23.65089538564354,-23.82880961973003
490,-1.1767090882499174,-0.9927027060662407
491,-1.4243417950920234,-1.4629187633717196
492,-11.170095497649365,-11.184238312019685
493,-11.961856219582677,-11.977661746638436
494,-6.238918566034812,-6.1152774301366195
495,-25.38083946366748,-25.391647589665624
496,-19.877842180493126,-19.89651661100595
497,1.7463141766741586,1.6935114767779018
498,1.4296597153873793,1.805560232166412
499,-7.053206397777401,-7.012546984687493
500,-12.066060843665674,-12.00699620644077
501,-19.361685515204652,-19.425900258049953
502,-24.65674092072673,-24.71279888007158
503,-23.760067765555593,-23.725655882664768
504,-23.760067765555593,-23.725655882664768
505,-14.14852812108211,-14.10830583794619
506,-21.37928206901647,-21.422168036015634
507,-27.527356490706232,-27.682653775382253
508,-17.396266267484034,-17.304476135599593
509,-21.36531664614507,-21.377171441857605
510,-10.188648107367596,-10.264670580037578
511,-25.86593665762271,-25.984581857451023
512,-25.86593665762271,-25.984581857451023
513,-23.835029216886053,-23.911965096298875
514,-14.093273553243025,-14.173756323784186
515,-7.4180767480841165,-7.463888873812093
516,-4.957241378022613,-4.977398563283907
517,-10.177588411839697,-10.122870094906052
518,-18.996120982598214,-18.948963248237057
519,-8.070332136121912,-7.928836616706465
520,-15.748639790053836,-15.664767818928276
521,-20.617774284955033,-20.524239674946884
522,-10.206545389511886,-10.073194489239476
523,-20.617774284955033,-20.524239674946884
524,-20.142918756262315,-20.122081676049607
525,-5.146117848016866,-5.108578561257276
526,-1.650151946504981,-1.7251179061069537
527,-14.944314943827822,-15.03920630440954
528,-22.37878467955472,-22.229123062247155
529,-15.025042817244058,-15.00746869853693
530,-6.995428397732266,-7.023567612905568
531,-22.8615771429906,-22.818701866631205
532,-26.432289139334983,-26.432346707089124
533,-2.9531642374369427,-2.9461030750111754
534,-27.527356490706232,-27.682653775382253
535,-14.272210271639766,-14.276855554707396
536,-26.432289139334987,-26.432346707089124
537,-23.074198140276156,-23.044329168882918
538,-30.87726334338263,-30.8651856606312
539,-21.015164147523713,-21.09701280259603
540,-25.991393586817956,-25.973849267419475
541,-26.079572697321364,-26.065548755353404
542,-22.822885262352433,-22.778822600462945
543,-10.203875530866078,-10.210060740156864
544,-26.432289139334983,-26.432346707089124
545,-9.974209276261584,-9.990862734202944
546,-15.80539681145881,-15.77424122912369
547,-7.257302000817661,-7.2481259464140475
548,-20.62536492557893,-20.630560487286328
549,-8.646196449999133,-8.689269259200161
550,-15.966287201548905,-15.981465656374903
551,-20.217183874514255,-20.193178984532892
552,-26.432289139334987,-26.432346707089124
553,-18.68544258587903,-18.63888609433013
554,-8.33058189561822,-8.327103168011314
555,-32.342693990094446,-32.3438940020844
556,-22.13403361247695,-22.125304440385694
557,-26.432289139334987,-26.432346707089128
558,-6.33512117682552,-6.357286954387731
559,-23.662889730745313,-23.565190791467167
560,-19.503301198518763,-19.470420770156142
561,-18.91695693140432,-18.877552466858724
562,-4.125633068098118,-4.129452142985809
563,-25.032313218731872,-24.982751686031904
564,-14.959191462922856,-14.922001364774163
565,-26.432289139334983,-26.432346707089124
566,-19.548430533487707,-19.52613950170015
