,concentration,reference_energy,hull_energy,file_location
478,0.375,-14.246349259261033,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0834_finished_approved/run_final_approved/OUTCAR
479,0.25,4.298773461539003,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0840_finished_approved/run_final_approved/OUTCAR
480,0.25,-9.725926538460673,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0841_finished_approved/run_final_approved/OUTCAR
481,0.875,-3.8753462903238938,-10.748132722222357,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0843_finished_approved/run_final_approved/OUTCAR
482,0.75,-6.764582000000985,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0844_finished_approved/run_final_approved/OUTCAR
483,0.5,-22.509166785714083,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0850_finished_approved/run_final_approved/OUTCAR
484,0.5,-17.70477071428697,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0851_finished_approved/run_final_approved/OUTCAR
485,0.5,-9.58711500000017,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0852_finished_approved/run_final_approved/OUTCAR
486,0.5,-22.268676428570952,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0853_finished_approved/run_final_approved/OUTCAR
487,0.375,-13.19900870370395,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0857_finished_approved/run_final_approved/OUTCAR
488,0.375,-6.255140555556114,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0858_finished_approved/run_final_approved/OUTCAR
489,0.375,-22.503514259259166,-32.440396307797684,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0859_finished_approved/run_final_approved/OUTCAR
490,0.125,-2.351757799999632,-12.172027820512108,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0861_finished_approved/run_final_approved/OUTCAR
491,0.75,-0.5200226666673302,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0863_finished_approved/run_final_approved/OUTCAR
492,0.75,-10.133544000000919,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0864_finished_approved/run_final_approved/OUTCAR
493,0.5,-12.270365000000131,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0870_finished_approved/run_final_approved/OUTCAR
494,0.5,-5.951717500000849,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0871_finished_approved/run_final_approved/OUTCAR
495,0.5,-26.511776071428375,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0872_finished_approved/run_final_approved/OUTCAR
496,0.5,-19.634074642857918,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0873_finished_approved/run_final_approved/OUTCAR
497,0.5,4.536061785714196,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0874_finished_approved/run_final_approved/OUTCAR
